Gender,Age,Academic Percentage,Maths Score,Science Score,English Score,Programming Skill,Communication Skill,Logical Thinking,Creativity,Leadership,Interest,Personality Type,Preferred Subject,Career Label
Female,20,80.35,69.46,48.02,91.27,5,6,6,4,7,Mathematics,Leadership,Commerce,Business Analyst
Male,19,69.64,55.27,49.87,64.68,4,6,3,9,5,Arts,Creative,Mathematics,Graphic Designer
Female,16,87.45,81.39,84.04,68.73,7,3,10,4,2,Technology,Analytical,Science,Data Scientist
Female,22,74.18,70.64,65.26,81.79,4,10,8,6,7,Social Work,Social,English,Teacher
Female,22,81.66,73.88,73.94,84.04,3,8,3,8,6,Medicine,Leadership,English,Teacher
Male,20,85.54,79.95,92.03,100.0,1,6,7,2,8,Social Work,Investigative,Biology,Doctor
Male,18,80.01,85.42,62.57,74.83,8,7,7,6,8,Technology,Leadership,Commerce,Business Analyst
Male,18,71.06,70.74,69.46,55.17,2,1,9,5,6,Mathematics,Practical,Science,Civil Engineer
Female,19,80.65,89.81,74.72,53.31,10,7,10,3,8,Mathematics,Analytical,Computer Science,Data Scientist
Female,19,79.59,49.49,90.41,59.38,4,6,9,3,5,Science,Social,Science,Doctor
Female,16,80.08,88.25,57.63,51.8,10,6,8,7,4,Science,Analytical,Mathematics,Software Engineer
Female,21,83.63,99.19,78.79,53.09,9,3,10,7,3,Science,Investigative,English,Data Scientist
Male,21,76.79,52.12,69.51,75.38,9,6,2,9,3,Technology,Leadership,English,Graphic Designer
Female,18,81.82,82.85,60.45,63.36,3,5,6,4,4,Science,Analytical,Science,Civil Engineer
Female,22,89.4,88.31,81.98,75.66,7,8,10,4,6,Mathematics,Investigative,Computer Science,Data Scientist
Male,22,89.54,57.27,88.58,65.15,3,10,4,6,3,Business,Investigative,Biology,Doctor
Male,19,81.4,52.29,88.89,92.75,6,10,6,7,8,Arts,Practical,English,Teacher
Female,20,75.6,44.51,54.57,83.29,3,10,7,8,7,Science,Investigative,Commerce,Lawyer
Male,16,79.59,82.8,72.15,39.06,2,5,7,7,10,Technology,Investigative,Mathematics,Civil Engineer
Male,19,84.9,89.36,72.83,69.46,10,6,10,4,3,Mathematics,Creative,Mathematics,Data Scientist
Male,17,68.0,77.82,64.72,64.27,1,10,7,6,2,Arts,Social,Social Studies,Teacher
Female,20,87.12,81.88,48.89,64.24,7,8,4,1,8,Business,Practical,Commerce,Business Analyst
Female,21,74.4,93.22,51.47,71.87,5,6,5,6,10,Technology,Social,Commerce,Business Analyst
Female,16,80.24,70.59,73.73,87.23,2,8,9,2,9,Social Work,Social,English,Teacher
Male,22,87.17,72.71,69.93,78.71,1,8,5,7,6,Social Work,Leadership,Social Studies,Teacher
Male,21,85.87,88.98,71.83,86.9,8,3,7,2,4,Technology,Practical,Computer Science,Software Engineer
Male,19,65.88,87.44,68.77,71.49,10,5,6,6,8,Science,Investigative,Mathematics,Software Engineer
Male,16,74.42,62.38,60.99,63.91,9,6,8,9,6,Mathematics,Creative,Science,Software Engineer
Female,16,83.48,92.33,71.38,56.96,5,9,8,9,5,Science,Practical,Biology,Mechanical Engineer
Male,21,83.23,70.28,81.49,70.58,1,3,4,4,7,Technology,Analytical,Social Studies,Civil Engineer
Female,16,61.37,79.56,81.07,59.67,1,5,6,7,6,Mathematics,Practical,Mathematics,Mechanical Engineer
Male,18,70.48,52.97,78.45,71.88,2,10,10,8,4,Social Work,Social,Social Studies,Psychologist
